Filename,Exposure,Moon_XC,Moon_YC,Moon_Radius,Mean_SB
DSC_3682-Position4-cal.fits,0.005,4628.0,2640.0,676.0,0.1533873826265335
DSC_3770-Position4-cal.fits,0.00125,4710.0,2365.0,691.0,0.0018453283701092005
DSC_3921-Position3-cal.fits,0.16667,4189.0,2480.0,675.0,0.03898831084370613
DSC_3933-Position3-cal.fits,0.0025,4196.0,2446.0,677.0,0.0009020976722240448
DSC_3772-Position4-cal.fits,0.005,4693.0,2362.0,677.0,0.006391227710992098
DSC_3752-Position4-cal.fits,0.00125,4675.0,2527.0,687.0,0.004789738450199366
DSC_3937-Position3-cal.fits,0.04,4199.0,2437.0,675.0,0.011137319728732109
DSC_3766-Position4-cal.fits,0.04,4668.0,2496.0,675.0,0.05197698622941971
DSC_3942-Position3-cal.fits,0.0025,4201.0,2421.0,677.0,0.0009264335385523736
DSC_3761-Position4-cal.fits,0.00125,4682.0,2503.0,690.0,0.003201473504304886
DSC_3779-Position4-cal.fits,0.00125,4708.0,2342.0,684.0,0.001829436863772571
DSC_3899-Position2-cal.fits,0.01,4860.0,1520.0,678.0,0.003754872363060713
DSC_3730-Position4-cal.fits,0.04,4648.0,2598.0,677.0,0.19581572711467743
DSC_3683-Position4-cal.fits,0.01,4632.0,2638.0,676.0,0.28396204113960266
DSC_3807-Position4-cal.fits,0.0025,4716.0,2268.0,678.0,0.0033123150933533907
DSC_3806-Position4-cal.fits,0.00125,4716.0,2270.0,679.0,0.0018154833232983947
DSC_3896-Position2-cal.fits,0.00125,4857.0,1525.0,676.0,0.0007184739224612713
