Filename,Exposure,Moon_XC,Moon_YC,Moon_Radius,Mean_SB
DSC_3668-Position4-cal.fits,0.07692,4163.0,2749.0,643.0,0.016139693558216095
DSC_3838-Position1-cal.fits,0.04,4767.0,1985.0,675.0,0.013690376654267311
DSC_3950-Position3-cal.fits,0.00125,4204.0,2398.0,677.0,0.0006097272271290421
DSC_3795-Position4-cal.fits,0.16667,4706.0,2304.0,673.0,0.11551643162965775
DSC_3745-Position4-cal.fits,0.005,4656.0,2551.0,676.0,0.018903478980064392
DSC_3716-Position4-cal.fits,0.00125,4025.0,2358.0,0.0,0.0334952250123024
DSC_3876-Position2-cal.fits,0.16667,4844.0,1583.0,675.0,0.05056938901543617
DSC_3691-Position4-cal.fits,0.005,4636.0,2650.0,677.0,0.14134450256824493
DSC_3669-Position4-cal.fits,0.16667,4163.0,2748.0,644.0,0.022081751376390457
DSC_3832-Position1-cal.fits,0.33333,4764.0,1999.0,671.0,0.08006612211465836
DSC_3796-Position4-cal.fits,0.33333,4707.0,2299.0,672.0,0.1721666306257248
DSC_3825-Position1-cal.fits,0.0025,4762.0,2016.0,676.0,0.001095929997973144
DSC_3750-Position4-cal.fits,0.16667,4660.0,2540.0,673.0,0.3113085627555847
DSC_3911-Position2-cal.fits,0.07692,4862.0,1489.0,675.0,0.027854876592755318
DSC_3719-Position4-cal.fits,0.01,4638.0,2649.0,676.0,0.19618213176727295
DSC_3732-Position4-cal.fits,0.16667,4652.0,2589.0,670.0,0.6128928661346436
DSC_3923-Position3-cal.fits,0.00125,4192.0,2467.0,675.0,0.0005621598684228957
DSC_3836-Position1-cal.fits,0.01,4766.0,1988.0,675.0,0.003549516899511218
DSC_3889-Position2-cal.fits,0.005,4853.0,1545.0,678.0,0.0020085442811250687
DSC_3786-Position4-cal.fits,0.16667,4701.0,2329.0,673.0,0.1155458316206932
DSC_3705-Position4-cal.fits,0.16667,nan,nan,nan,2.405677080154419
DSC_3701-Position4-cal.fits,0.01,4636.0,2650.0,677.0,0.24012798070907593
DSC_3784-Position4-cal.fits,0.04,4701.0,2334.0,675.0,0.04426877200603485
DSC_3723-Position4-cal.fits,0.16667,nan,nan,nan,2.055434226989746
DSC_3635-Position4-cal.fits,0.00125,4142.0,2766.0,640.0,0.0016045522643253207
DSC_3660-Position4-cal.fits,0.16667,4157.0,2754.0,644.0,0.02222534269094467
DSC_3805-Position4-cal.fits,0.33333,4712.0,2275.0,672.0,0.17188242077827454
DSC_3903-Position2-cal.fits,0.16667,4858.0,1511.0,675.0,0.05036383494734764
DSC_3823-Position1-cal.fits,0.33333,4759.0,2024.0,671.0,0.08024851977825165
DSC_3827-Position1-cal.fits,0.01,4762.0,2013.0,675.0,0.0035771604161709547
DSC_3905-Position2-cal.fits,0.00125,4863.0,1500.0,677.0,0.0007183533161878586
DSC_3758-Position4-cal.fits,0.07692,4664.0,2518.0,674.0,0.1260846108198166
DSC_3821-Position1-cal.fits,0.07692,4758.0,2030.0,675.0,0.02699732594192028
DSC_3892-Position2-cal.fits,0.04,4852.0,1539.0,675.0,0.014309169724583626
DSC_3818-Position1-cal.fits,0.01,4758.0,2038.0,676.0,0.0035868422128260136
DSC_3917-Position3-cal.fits,0.01,4188.0,2493.0,676.0,0.0026886218693107367
DSC_3655-Position4-cal.fits,0.005,4156.0,2753.0,641.0,0.0062161944806575775
DSC_3816-Position1-cal.fits,0.0025,4758.0,2043.0,676.0,0.0010910960845649242
DSC_3904-Position2-cal.fits,0.33333,4860.0,1506.0,672.0,0.08220307528972626
DSC_3734-Position4-cal.fits,0.00125,4658.0,2578.0,681.0,0.008736643940210342
DSC_3953-Position3-cal.fits,0.01,4205.0,2394.0,677.0,0.0030696443282067776
DSC_3891-Position2-cal.fits,0.02,4851.0,1541.0,675.0,0.007250562310218811
DSC_3735-Position4-cal.fits,0.0025,4652.0,2581.0,676.0,0.014696368016302586
DSC_3648-Position4-cal.fits,0.02,4147.0,2757.0,641.0,0.011454076506197453
DSC_3822-Position1-cal.fits,0.16667,4759.0,2028.0,674.0,0.049152571707963943
DSC_3936-Position3-cal.fits,0.02,4197.0,2439.0,675.0,0.005628025624901056
DSC_3755-Position4-cal.fits,0.01,4662.0,2525.0,676.0,0.024079879745841026
DSC_3712-Position4-cal.fits,0.04,4639.0,2649.0,674.0,0.751278817653656
DSC_3774-Position4-cal.fits,0.02,4694.0,2359.0,676.0,0.02384641207754612
DSC_3908-Position2-cal.fits,0.01,4862.0,1495.0,676.0,0.0037390978541225195
DSC_3771-Position4-cal.fits,0.0025,4716.0,2359.0,697.0,0.0033541484735906124
DSC_3879-Position2-cal.fits,0.0025,4848.0,1574.0,676.0,0.0011487305164337158
DSC_3685-Position4-cal.fits,0.04,4638.0,2647.0,669.0,0.971064567565918
DSC_3854-Position1-cal.fits,0.01,4775.0,1940.0,675.0,0.0035727431531995535
DSC_3839-Position1-cal.fits,0.07692,4767.0,1982.0,675.0,0.026843277737498283
DSC_3907-Position2-cal.fits,0.005,4782.0,1439.0,585.0,0.002005603164434433
DSC_3870-Position2-cal.fits,0.0025,4847.0,1602.0,678.0,0.0011498713865876198
DSC_3885-Position2-cal.fits,0.16667,4849.0,1561.0,673.0,0.05040577054023743
DSC_3636-Position4-cal.fits,0.0025,4143.0,2766.0,640.0,0.00292401947081089
DSC_3759-Position4-cal.fits,0.16667,4664.0,2516.0,673.0,0.2045787125825882
DSC_3737-Position4-cal.fits,0.01,4653.0,2575.0,676.0,0.04563279449939728
DSC_3800-Position4-cal.fits,0.01,4708.0,2289.0,676.0,0.012360816821455956
DSC_3709-Position4-cal.fits,0.005,4637.0,2650.0,676.0,0.11797024309635162
DSC_3820-Position1-cal.fits,0.04,4757.0,2033.0,675.0,0.013729714788496494
DSC_3718-Position4-cal.fits,0.005,4636.0,2649.0,676.0,0.1061062216758728
